"year","Alcopops","All offal other than liver","All other fats","Baby foods","Bacon and ham, cooked","Bacon and ham, uncooked","Beef and veal","Beers","Biscuits other than chocolate","Blue fish, dried or salted or smoked","Breakfast cereals","Brown and wholemeal bread","Buns, scones and teacakes","Burgers, frozen or not frozen","Butter","Cakes and pastries","Cakes and pastries - frozen","Canned milk puddings","Chewing gum","Chicken, uncooked - whole chicken or chicken pieces","Chocolate bars - filled","Chocolate bars - solid","Chocolate biscuits","Ciders and perry","Cocoa and chocolate drinks","Coffee beans and ground coffee","Coffee essences","Cooked poultry not purchased in cans","Corned beef, canned or sliced","Crispbread","Fortified wines","Fresh fruit","Fresh green vegetables","Fresh potatoes","Fudges, toffees, caramels","Herrings and other blue fish, fresh, chilled or frozen","Honey","Ice cream products including takeaways","Ice cream tub or block","Infant cereal foods","Instant coffee","Invalid foods, slimming foods and sports foods","Jams and fruit curds","Jelly squares or crystals","Lagers and continental beers","Lard, cooking fat","Liqueurs and cocktails","Liquid wholemilk, including school and welfare","Liver","Malt drinks and chocolate versions of malted drinks","Margarine","Marmalade","Meals on wheels - items not specified","Meat pastes and spreads","Meat pies and sausage rolls, ready to eat","Meat pies, pasties and puddings, frozen or not frozen","Mineral or spring waters","Mints and boiled sweets","Mutton and lamb","Natural cheese","Oatmeal and oat products","Other canned meat and canned meat products","Other cereal convenience foods","Other cereals","Other cooked meat","Other fresh vegetables","Other fresh, chilled and frozen meat","Other milk and cream","Other poultry, uncooked (including frozen)","Other takeaway food brought home","Other tinned or bottled fish","Pasta","Pate and delicatessen type sausage","Pickles and sauces","Pizza","Pork","Processed cheese","Processed fruit and fruit products","Processed potatoes","Processed vegetables excluding processed potatoes","Puddings","Ready meals and convenience meat products","Ready meals and other fish products - frozen or not frozen","Rice","Salmon, fresh, chilled or frozen","Salmon, tinned","Salt","Sausages, uncooked - beef and other sausages","Sausages, uncooked - pork","Shellfish","Soft drinks, concentrated, low calorie (h)","Soft drinks, concentrated, not low calorie (h)","Soft drinks, not concentrated,  not low calorie","Soft drinks, not concentrated, low calorie","Soups - canned or cartons","Soups - dehydrated or powdered","Soups - from takeaway","Soya and novel protein foods","Spirits","Spirits with mixer","Spreads and dressings","Stock cubes and meat and yeast extracts","Sugar","Syrup, treacle","Takeaway confectionery","Takeaway fish","Takeaway fish meals and fish products","Takeaway meats","Tea","Tea and coffee from takeaway","Total other bread","Vegetable and salad oils","White bread","White fish, dried, salted or smoked","White fish, fresh, chilled or frozen","Wine and champagne"
"2005","11","2","6","8","44","48","1","85","13","6","24","145","46","20","38","1","8","12","2","183","54","30","58","52","5","3","0","6","13","7","13","31","6","428","4","0","6","2","107","1","13","2","16","4","291","4","5","444","1","3","2","11","1","1","11","53","253","29","7","14","19","32","35","5","12","4","1","21","6","0","33","1","9","1","22","10","12","350","46","35","11","58","49","20","1","6","11","6","58","7","132","600","676","310","82","4","1","6","32","0","5","4","94","3","0","10","2","0","33","0","2","46","3","4","7","239"
"2006","12","1","6","9","45","48","1","99","13","6","28","151","45","21","40","1","8","11","2","181","54","31","56","59","5","3","0","6","12","7","10","36","6","401","3","0","6","2","114","1","14","5","16","4","294","4","6","462","0","3","2","9","1","1","12","49","292","29","8","15","17","29","38","7","12","5","1","22","4","0","31","1","9","1","20","10","13","366","41","36","10","57","50","21","1","5","8","6","59","7","171","638","635","363","79","4","1","5","34","1","5","4","92","3","0","10","2","0","30","0","2","46","3","4","8","233"
"2007","8","2","7","10","45","47","1","100","13","6","26","140","44","20","41","1","8","12","3","178","56","32","49","75","5","4","0","6","12","6","12","40","7","381","3","0","6","2","106","1","13","3","15","5","284","3","6","407","1","3","2","9","1","1","12","50","258","31","6","16","19","26","36","6","12","5","2","21","4","0","30","1","10","1","22","9","12","340","42","36","11","59","50","20","1","5","9","5","59","6","172","573","605","337","79","4","1","6","36","0","5","4","92","3","0","10","2","0","30","1","2","45","2","4","8","239"
"2008","8","2","7","9","45","45","0","86","12","6","25","130","43","21","40","1","10","11","3","183","57","31","53","69","5","3","0","5","10","6","10","41","6","396","3","1","6","2","98","1","14","3","15","5","264","3","7","399","0","2","2","10","1","1","12","49","225","33","8","15","20","29","39","6","12","4","4","21","5","0","28","1","11","1","20","9","12","325","43","36","11","63","51","16","2","5","9","4","58","6","168","587","606","321","76","4","0","6","31","0","6","4","93","3","0","9","2","0","30","0","2","46","2","4","8","224"
"2009","7","2","6","11","43","46","1","107","13","6","25","136","47","20","39","1","10","12","2","183","59","31","55","82","5","3","0","6","11","6","9","39","6","381","4","1","6","1","99","1","15","4","15","4","264","3","6","400","1","2","2","9","0","1","11","49","236","34","8","16","21","27","42","7","13","5","1","23","5","0","27","1","9","0","17","10","11","302","42","37","11","66","50","18","2","4","9","4","61","6","160","583","625","309","78","4","1","7","33","1","7","5","90","4","0","9","2","0","29","0","2","46","2","4","8","227"
"2010","9","2","7","8","43","48","1","103","11","6","27","127","45","22","40","1","8","10","2","181","57","32","52","79","5","5","0","7","10","7","9","44","6","361","4","0","7","1","97","1","15","3","16","5","274","3","8","343","1","3","2","9","1","1","12","52","245","33","7","19","21","26","45","6","12","5","2","24","4","0","25","1","13","0","22","11","11","296","39","34","12","72","51","17","1","3","11","4","62","6","234","532","607","345","76","4","1","7","34","1","6","6","90","4","0","8","2","0","28","0","2","47","2","3","6","229"
"2011","9","3","6","10","43","46","0","88","12","7","29","134","46","21","40","1","7","11","2","190","58","31","52","87","5","4","0","6","8","7","10","39","6","362","3","1","6","1","106","1","14","4","15","4","251","2","6","349","1","2","2","8","0","1","12","48","256","35","5","20","20","25","41","7","13","5","2","23","3","0","25","1","13","1","21","11","11","307","44","37","11","70","54","16","1","3","9","5","59","4","286","379","576","390","75","4","0","7","31","1","8","5","93","4","0","8","2","0","27","0","2","39","1","3","5","235"
"2012","8","2","6","10","40","45","1","86","12","6","29","123","45","18","41","1","11","9","2","192","50","33","50","80","5","6","0","7","7","7","8","43","7","357","4","0","6","1","103","1","13","4","14","4","240","2","6","292","1","2","3","8","0","1","11","46","305","36","7","19","22","22","36","7","14","5","1","25","4","0","25","1","12","1","25","12","10","282","45","40","9","73","52","16","1","2","9","4","62","4","340","335","549","409","85","4","0","7","34","1","9","5","91","4","0","8","3","0","26","0","2","47","1","3","9","226"
"2013","5","2","6","10","39","43","1","76","13","7","30","125","47","18","42","1","9","10","1","184","50","35","51","87","5","5","0","6","7","8","8","42","8","319","3","0","7","1","99","1","14","4","14","5","254","2","6","282","1","2","2","7","0","1","9","43","306","36","6","20","24","22","41","6","14","6","2","24","3","0","23","1","13","1","21","13","11","288","49","40","9","78","54","17","1","2","8","4","57","4","354","321","557","433","79","4","0","6","30","1","10","5","91","4","0","8","2","0","25","1","2","42","3","3","6","214"
"2014","6","2","6","10","40","42","0","74","12","7","27","125","48","18","40","1","9","10","1","186","51","36","51","78","5","8","0","7","7","7","8","42","8","312","3","0","7","1","88","1","12","4","14","5","249","2","8","258","1","2","2","6","0","1","10","41","341","37","6","20","23","21","49","7","14","5","2","23","4","0","24","1","13","1","22","12","10","247","46","38","10","78","49","17","1","3","7","4","55","5","367","258","516","406","70","3","0","8","33","2","10","5","78","3","0","7","2","0","25","1","2","38","3","3","7","201"
